annee,departement,sexe,cause,indicateur,valeur
2021,28,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1084.1
2022,28,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1088.9
2023,28,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1040.8
2010,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1285.3
2011,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1193.8
2012,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1249.1
2013,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1168.0
2014,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1102.2
2015,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1146.9
2016,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1161.6
2017,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1134.9
2018,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1110.6
2019,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1047.8
2020,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1062.3
2021,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1078.2
2022,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1138.3
2023,29,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1078.4
2010,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,976.5
2011,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1018.3
2012,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,999.0
2013,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,977.8
2014,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,979.2
2015,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,960.8
2016,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,924.6
2017,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,889.7
2018,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,885.0
2019,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,881.5
2020,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,967.3
2021,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,953.4
2022,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,997.1
2023,2A,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,919.4
2010,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1091.0
2011,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1019.1
2012,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,991.0
2013,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1023.4
2014,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,969.6
2015,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,978.0
2016,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,915.3
2017,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,958.3
2018,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,879.2
2019,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,897.3
2020,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,896.2
2021,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,980.5
2022,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,993.2
2023,2B,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,942.3
2010,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1092.2
2011,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1027.6
2012,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1040.7
2013,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1013.3
2014,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,975.2
2015,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1035.1
2016,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1001.5
2017,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,954.5
2018,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,988.5
2019,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,947.9
2020,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1010.9
2021,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1029.5
2022,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1040.8
2023,30,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,983.6
2010,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,965.3
2011,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,921.1
2012,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,942.9
2013,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,935.9
2014,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,887.7
2015,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,912.0
2016,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,893.4
2017,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,896.4
2018,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,868.8
2019,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,878.7
2020,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,888.4
2021,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,900.4
2022,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,900.9
2023,31,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,856.3
2010,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1050.9
2011,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,993.5
2012,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1011.5
2013,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1001.9
2014,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,964.5
2015,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1007.8
2016,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,967.2
2017,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,987.9
2018,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,972.9
2019,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,943.1
2020,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,953.0
2021,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,974.2
2022,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1004.8
2023,32,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,992.1
2010,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1048.8
2011,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,999.1
2012,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1039.8
2013,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,992.1
2014,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,966.6
2015,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,994.5
2016,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,937.3
2017,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,953.0
2018,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,945.2
2019,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,937.0
2020,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,920.4
2021,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,975.1
2022,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1001.5
2023,33,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,929.5
2010,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1049.7
2011,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1021.6
2012,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1029.3
2013,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,994.0
2014,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,974.2
2015,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,987.0
2016,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,976.1
2017,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,967.3
2018,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,953.8
2019,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,940.1
2020,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,970.8
2021,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,991.3
2022,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1006.0
2023,34,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,919.6
2010,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1043.6
2011,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,982.1
2012,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1049.8
2013,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,989.9
2014,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,964.5
2015,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,991.9
2016,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,998.6
2017,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,950.5
2018,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,954.0
2019,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,918.0
2020,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,911.6
2021,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,961.4
2022,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,974.2
2023,35,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,921.4
2010,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1242.2
2011,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1095.5
2012,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1113.4
2013,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1156.5
2014,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1094.0
2015,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1151.0
2016,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1090.1
2017,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1088.6
2018,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1079.4
2019,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1043.4
2020,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1138.0
2021,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1113.5
2022,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1152.7
2023,36,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1083.3
2010,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,998.5
2011,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,975.9
2012,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,976.5
2013,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,966.0
2014,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,919.4
2015,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,947.9
2016,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,912.8
2017,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,946.2
2018,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,916.5
2019,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,908.3
2020,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,945.2
2021,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,956.6
2022,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,934.0
2023,37,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,869.9
2010,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1000.5
2011,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,951.0
2012,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,994.8
2013,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,981.8
2014,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,903.5
2015,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,955.8
2016,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,912.3
2017,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,901.8
2018,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,888.5
2019,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,898.9
2020,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1045.4
2021,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,939.4
2022,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,957.5
2023,38,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,878.0
2010,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1121.9
2011,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1065.3
2012,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1041.9
2013,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1074.0
2014,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,983.7
2015,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1021.0
2016,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,991.3
2017,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,979.3
2018,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,981.1
2019,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,961.4
2020,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1079.1
2021,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1048.3
2022,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1007.2
2023,39,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,968.9
2010,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1075.7
2011,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1048.1
2012,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1080.8
2013,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1050.3
2014,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,987.8
2015,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1010.8
2016,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,978.6
2017,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1025.0
2018,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,982.0
2019,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,944.6
2020,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,976.1
2021,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,985.0
2022,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1029.0
2023,40,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,988.3
2010,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1045.4
2011,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,993.6
2012,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1034.1
2013,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1047.3
2014,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,986.5
2015,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1020.1
2016,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,984.2
2017,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1011.2
2018,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,979.4
2019,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,976.7
2020,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1052.9
2021,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,993.8
2022,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1076.4
2023,41,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,982.3
2010,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1092.0
2011,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1045.7
2012,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1076.9
2013,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1019.0
2014,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,978.1
2015,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1030.2
2016,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,994.1
2017,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,983.8
2018,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,945.0
2019,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,947.5
2020,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1104.4
2021,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,975.4
2022,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,971.2
2023,42,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,911.6
2010,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1141.2
2011,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1100.7
2012,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1192.4
2013,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1127.3
2014,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1008.1
2015,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1103.4
2016,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1048.7
2017,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1072.0
2018,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1030.3
2019,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,997.3
2020,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1141.5
2021,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1049.7
2022,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1113.5
2023,43,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1048.4
2010,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1048.0
2011,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1018.4
2012,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1062.3
2013,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1046.2
2014,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,991.5
2015,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1045.2
2016,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,985.0
2017,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,986.7
2018,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,972.4
2019,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,973.2
2020,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,992.6
2021,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,997.2
2022,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1001.0
2023,44,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,935.3
2010,45,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1061.8
2011,45,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1030.9
2012,45,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1024.6
2013,45,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1026.9
2014,45,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1009.5
2015,45,Tous sexes,Toutes causes,Taux standardisé de mortalité par âge et sexe pour 100 000 habitants,1041.2
